id,reviewer,rating,text
,,5,냄새나는 페미들을 걸러주는 아주 훌륭한 까페입니다 오염되지않아서 공기도 맑은거같아요! 사장님 최고에요~^^ 맛도 최고 운영도 최고 !!
ChZDSUhNMG9nS0VJQ0FnSUNLb09iZVFBEAE,Perioe,5,"아메리카노 너무 맛있어요. 리뷰 좀 이상한데 느낌이 오네요. 비정상, 비상식이 아닌 정상적인, 상식적인 사회가 오길 바랍니다. 결이 다른 사장님 번창하시기 바랍니다."
,Perioe,,
,,5,"아메리카노 너무 맛있어요. 리뷰 좀 이상한데 느낌이 오네요. 비정상, 비상식이 아닌 정상적인, 상식적인 사회가 오길 바랍니다. 결이 다른 사장님 번창하시기 바랍니다."
ChdDSUhNMG9nS0VJQ0FnSUNLd042YnpRRRAB,구이고기,5,"개인의 망상으로 인한 것이 뻔하지만, 만약 그게 망상이 아니라 모든 게 실화라면 더욱 위인이시군요. 사장님 같은 분이 대한민국에 많아지길 기원합니다!"
,구이고기,,
,,5,"개인의 망상으로 인한 것이 뻔하지만, 만약 그게 망상이 아니라 모든 게 실화라면 더욱 위인이시군요. 사장님 같은 분이 대한민국에 많아지길 기원합니다!"
ChdDSUhNMG9nS0VJQ0FnSUNLdjZHbzZRRRAB,우담바라,5,인생커피였습니다. 아이스아메리카노 마시는데 사이다 마셨을때의 속시원함도 느껴지네요. 사장님 번창하시고 대박나세요.  짝퉁fm들.. 한남충 거리면서 한남충들 밑에서 자존심버리고 알바는하고 싶나봄. 그리고 북한 김정은 머리는 왜들 하고 다니는지.
,우담바라,,
,,5,인생커피였습니다. 아이스아메리카노 마시는데 사이다 마셨을때의 속시원함도 느껴지네요. 사장님 번창하시고 대박나세요.  짝퉁fm들.. 한남충 거리면서 한남충들 밑에서 자존심버리고 알바는하고 싶나봄. 그리고 북한 김정은 머리는 왜들 하고 다니는지.
ChdDSUhNMG9nS0VJQ0FnSURLXzd2RGd3RRAB,가즈아,5,이 카페는 페미 없는 깨끗한 성지가 되겠군요. 페미들이 와서 달아주는 악플조차 가게에 플러스 요인입니다.  '중국인 관광객 없는 한국으로 관광 오세요' 중국이 한한령 내렸을때가 생각나네요.  페미없는 깨끗하고 가벼운 빈스얼랏으로 오세요
,가즈아,,
,,5,이 카페는 페미 없는 깨끗한 성지가 되겠군요. 페미들이 와서 달아주는 악플조차 가게에 플러스 요인입니다.  '중국인 관광객 없는 한국으로 관광 오세요' 중국이 한한령 내렸을때가 생각나네요.  페미없는 깨끗하고 가벼운 빈스얼랏으로 오세요
ChZDSUhNMG9nS0VJQ0FnSUNLMi1pUEV3EAE,ᄏᄏᄏᄏ,5,친절하시고 깔끔하고 커피가 맛있네요 피해망상증 걸린 멧돼지가 없는곳이라 그런지 분위기도 좋았어요 정상적인 남자 여자분들은 믿고 가시면 됩니다
,ᄏᄏᄏᄏ,,
,,5,친절하시고 깔끔하고 커피가 맛있네요 피해망상증 걸린 멧돼지가 없는곳이라 그런지 분위기도 좋았어요 정상적인 남자 여자분들은 믿고 가시면 됩니다
ChdDSUhNMG9nS0VJQ0FnSUNLd09fd3R3RRAB,축구,5,아주 훌륭한 사장님이 운영하는 가게입니다.  냄새나는 멧돼지 페미년들이 손님한테 몹쓸짓할걸  예상하셔서 직원분들을 다 인성바르고 좋은분들로  뽑으셨습니다
,축구,,
,,5,아주 훌륭한 사장님이 운영하는 가게입니다.  냄새나는 멧돼지 페미년들이 손님한테 몹쓸짓할걸  예상하셔서 직원분들을 다 인성바르고 좋은분들로  뽑으셨습니다
ChdDSUhNMG9nS0VJQ0FnSUNLb0lqNTNBRRAB,안개나루,5,사장님이 매우 친절하시고 훌륭한 마인드를 가지셨어요. 커피도 맛있고요^^ 카페에 메퇘지랑 상고충도 없고 분위기 너무 좋네요^^
,안개나루,,
,,5,사장님이 매우 친절하시고 훌륭한 마인드를 가지셨어요. 커피도 맛있고요^^ 카페에 메퇘지랑 상고충도 없고 분위기 너무 좋네요^^
ChdDSUhNMG9nS0VJQ0FnSUNLaEtucHZnRRAB,changgeung B,5,"이곳이 바로 또라이같은 세상에서 맑은 정신을 가지신 사장님이 운영하는, 최고의 커피를 만든다는곳 입니까?? 테이블을 '탁'치고 '억'하고 감동받아갑니다."
,changgeung B,,
,,5,"이곳이 바로 또라이같은 세상에서 맑은 정신을 가지신 사장님이 운영하는, 최고의 커피를 만든다는곳 입니까?? 테이블을 '탁'치고 '억'하고 감동받아갑니다."
ChZDSUhNMG9nS0VJQ0FnSUNLeXVpTUVREAE,판트,5,정신나간 페미들 때문에 힘드시겠어요 사장님 파이팅입니다. 원래 개돼지들은 커피 안마셔요 콜라처럼 살찌는 탄산을 아주 좋아하죠 별점 테러해도 우리가 지켜드려요. 개돼지 페미들아 니들 없어서 좋은 카페로 선정됐네 개꿀
,판트,,
,,5,정신나간 페미들 때문에 힘드시겠어요 사장님 파이팅입니다. 원래 개돼지들은 커피 안마셔요 콜라처럼 살찌는 탄산을 아주 좋아하죠 별점 테러해도 우리가 지켜드려요. 개돼지 페미들아 니들 없어서 좋은 카페로 선정됐네 개꿀
ChdDSUhNMG9nS0VJQ0FnSUNLd0kzdDBBRRAB,Opal,1,얼굴 붙어있는 카드등 내지마세요 얼평하는 사장님... 그냥 여자든 남자든 일반인이라면 얼굴 평가를 당하고 싶진 않을텐데요 실질적인 상황만 봐도 굳이 여기 안가는게 정상이라고 생각합니다..
,Opal,,
,,1,얼굴 붙어있는 카드등 내지마세요 얼평하는 사장님... 그냥 여자든 남자든 일반인이라면 얼굴 평가를 당하고 싶진 않을텐데요 실질적인 상황만 봐도 굳이 여기 안가는게 정상이라고 생각합니다..
ChdDSUhNMG9nS0VJQ0FnSUNLMjl5WThBRRAB,SEONGSU HA,5,역시 그분들은 남자만 와서 별 5개 주고 가는지 아시는군요... 그쪽 님들아 여성과 페미는 같지않아요. 여자도 미친 패미 싫어하는분이 대부분입니다. 정신좀 차리고 세상 사세요. 아니면 병원이라도 가보세요
,SEONGSU HA,,
,,5,역시 그분들은 남자만 와서 별 5개 주고 가는지 아시는군요... 그쪽 님들아 여성과 페미는 같지않아요. 여자도 미친 패미 싫어하는분이 대부분입니다. 정신좀 차리고 세상 사세요. 아니면 병원이라도 가보세요
ChZDSUhNMG9nS0VJQ0FnSUNLd0xha2J3EAE,Ish,5,훌륭한 카페입니다. 혹시나 근처 사시는 남성분들은 여친에게 이 카페이서 만나자고 해보세요. 여친이 거부하거나 이상한 이유를 대며 다른 곳에서 보자고 한다면 페미인겁니다. 그후 선택은 본인이ㅋ
,Ish,,
,,5,훌륭한 카페입니다. 혹시나 근처 사시는 남성분들은 여친에게 이 카페이서 만나자고 해보세요. 여친이 거부하거나 이상한 이유를 대며 다른 곳에서 보자고 한다면 페미인겁니다. 그후 선택은 본인이ㅋ
ChZDSUhNMG9nS0VJQ0FnSUNLdmFLSlhREAE,무르무르,5,"쾌적하고 인테리어가 예뻐요. 커피 맛도 괜찮은데, 가끔 멧돼지가 출몰한다고 하더라구요. 그 부분만 조심하시면 꽤나 괜찮은 카페예요."
,무르무르,,
,,5,"쾌적하고 인테리어가 예뻐요. 커피 맛도 괜찮은데, 가끔 멧돼지가 출몰한다고 하더라구요. 그 부분만 조심하시면 꽤나 괜찮은 카페예요."
